
A_type	Brdr = dative	Brdr=1	        Brdr=1.5	Brdr=2	         Brdr=3

c	0.713920	0.764127	0.694456	0.664305	0.601200
c=	0.742057	0.740027	0.694456	0.664305	
cp	0.747215	0.738123	0.694456	0.668452	
c+	0.734397	0.733977	0.686395	0.660340	
ct	0.734397	0.693631	0.692441	0.644296	0.601200
ct3	0.549599	0.539357	0.692441	0.660340	0.580351
na	0.765833	0.724561	0.652445	0.626472	0.547300
nb	0.626885	0.705584	0.690562	0.619856	
n+	0.778493	0.734561			
n	0.702106	0.715584	0.663928	0.675987	
np	0.751201	0.723909	0.655949	0.627721	
npo	0.721536	0.648733	0.668943	0.619856	
nh	0.721536	0.723808	0.698607	0.676185	
n=	0.635172	0.727949	0.648395	0.626472	
nob	0.721536	0.697949	0.668404	0.619856	0.558511
not	0.721536	0.435926	0.668404	0.546457	0.547300
nt	0.741059	0.755926	0.668404	0.546457	0.547300
nt2	0.714153	0.730894	0.671064	0.633093	0.592145
o	0.771356	0.696494	0.602434	0.605019	
os	0.779074	0.602800	0.620751	0.609123	
o1	0.779074	0.737517	0.620751	0.609123	
om	0.693443	0.737517	0.620751	0.609123	
oa	0.849923	0.727498	0.681724	0.609123	
o'	0.726899	0.757977	0.578095	0.605019	
op	0.662797	0.662866	0.620751	0.609123	
o*	0.768119	0.711833	0.620751	0.609123	
ot	0.779074	0.710234	0.620751	0.617330	0.581865
he	0.333918	0.321585			
h	0.333918	0.354992			
h*	0.333918	0.288179			
hb	0.443918	0.443918			
s	0.983552	1.057507	1.049446	0.949852	0.85000
s1	0.855264	1.027513	1.007002	0.931042	
sp	0.938909	0.992064	1.038411	1.058097	
s'	1.023717	1.271780	0.933149	0.987599	
s2d	0.928161	1.051173	1.007002	0.968697	
s3d	0.839365	1.022551	1.007002	0.937663	
s4d	0.928161	1.000834	1.007002	0.876653	0.799430
s3l	0.928161	1.162551	1.007002	1.037663	
s4l	0.928161	0.974470			
s5t	0.928161	1.021285	1.007002	0.871005	
s5l	0.928161	1.051173			
s6	0.914314	1.054131			
Ko	1.759654	1.759654			
Ca	1.813748	1.793161			
f	0.672254	0.660892			
ne	0.800000	0.800000			
cl	1.066312	0.995049			
cl'	1.066312	0.995049	0.900000	0.851144	
Na	1.530541	1.530541			
Mg	1.436528	1.436528			
Al	1.310931	1.221756			
br	1.101851	1.140173			
br'	1.101851	1.140173	1.040000	0.962550	
kr	1.375380	1.375380			
p	0.821273	1.109544			
p'	0.903421	1.121792	1.121593	0.940683	
p4d	1.190534	1.035813	0.981710	0.940683	
p53	0.971743	0.959806	0.981710	0.983813	
p4l	0.971743	1.040724			
p5t	0.971743	1.040724			
p6	0.971743	0.976664			
p5l	0.971743	1.040724			
si	1.253315	1.123580			
si'	1.133315	1.123580	1.000000	0.900000	
ar	1.000000	1.000000			
Sc	1.808267	1.571615			
Sc'	1.808267	1.571615			
Sc036	1.808267	1.571615	1.300000	1.122394	1.100000
Ti046	1.647633	1.367251	1.300000	1.122394	1.100000
Va045	1.483152	1.349570	1.206060	1.112726	1.000000
Cr036	1.505348	1.358800	1.300000	1.122394	1.000000
Mn024	1.494125	1.339696	1.170000	1.099342	1.000000
Fe026	1.471015	1.305808	1.300000	1.122394	1.100000
Co026	1.400160	1.351689	1.300000	1.122394	1.000000
Ni024	1.342256	1.300255	1.300000	1.122394	1.100000
