ow-hw  553.0    0.9572    
br-br  123.2    2.542     
br-c   240.3    1.946     
br-c1  352.7    1.787     
br-c2  278.7    1.883     
br-c3  229.5    1.966     
br-ca  269.6    1.897     
br-cx  261.4    1.910     
br-i   142.4    2.671     
br-n   320.2    1.873     
br-n1  330.4    1.860     
br-n2  219.0    2.038     
br-n3  265.9    1.952     
br-n4  282.4    1.926     
br-na  237.3    2.002     
br-nh  270.9    1.944     
br-no  191.0    2.101     
br-o   278.9    1.800     
br-oh  237.2    1.866     
br-os  225.6    1.887     
br-p2  174.3    2.210     
br-p3  167.0    2.231     
br-p4  188.8    2.171     
br-p5  179.3    2.196     
br-s   170.6    2.220     
br-s4  134.3    2.341     
br-s6  172.7    2.214     
br-sh  174.4    2.209     
br-ss  176.6    2.203     
c -c   290.1    1.550     
c -c1  379.8    1.460     
c -c2  449.9    1.406     
c -c3  328.3    1.508     
c -ca  349.7    1.487     
c -cc  377.4    1.462     
c -cd  377.4    1.462     
c -ce  363.8    1.474     
c -cf  363.8    1.474     
c -cg  389.3    1.452     
c -ch  389.3    1.452     
c -cl  293.5    1.766     
c -cu  441.4    1.412     
c -cx  350.8    1.486     
c -cy  308.5    1.529     
c -f   387.9    1.325     
c -ha  325.1    1.101     
c -i   198.9    2.209     
c -n   478.2    1.345     
c -n2  374.6    1.420     
c -n4  255.5    1.546     
c -nc  438.8    1.371     
c -nd  438.8    1.371     
c -ne  388.0    1.409     
c -nf  388.0    1.409     
c -no  260.1    1.540     
c -o   648.0    1.214     
c -oh  466.4    1.306     
c -os  411.3    1.343     
c -p2  210.3    1.900     
c -p3  219.0    1.883     
c -p4  220.6    1.880     
c -p5  225.9    1.870     
c -pe  204.9    1.911     
c -pf  204.9    1.911     
c -px  208.3    1.904     
c -py  227.6    1.867     
c -s   328.9    1.675     
c -s4  200.4    1.870     
c -s6  200.4    1.870     
c -sh  249.6    1.781     
c -ss  261.9    1.762     
c -sx  193.3    1.885     
c -sy  202.8    1.865     
c1-c1  986.2    1.181     
c1-c2  625.0    1.307     
c1-c3  368.3    1.470     
c1-ca  404.1    1.440     
c1-cg  845.8    1.222     
c1-ch  845.8    1.222     
c1-cl  419.7    1.631     
c1-cx  399.1    1.444     
c1-f   469.4    1.270     
c1-ha  375.9    1.066     
c1-hc  385.6    1.060     
c1-i   318.8    1.989     
c1-n   503.0    1.330     
c1-n1 1014.5    1.138     
c1-n2  769.8    1.210     
c1-n3  409.8    1.392     
c1-n4  378.2    1.417     
c1-na  452.0    1.362     
c1-ne  741.8    1.220     
c1-nf  741.8    1.220     
