FORMAT:

 type1  type2   D     r_0      alpha  shift  bci        wij_1     wij_2   alpij_1  alpij_2  rij_1   rij_2     wij     alpij

   1     1    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     2    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     3    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     4    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0

   2     2    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   2     3    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   2     4    10.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0


   3     3   50.0   1.52730   2.0    10.1   0.0         0.0       0.0     2.0      2.0    1.52730  1.52730     1.0     2.0
   3     4   10.0   1.08828   1.0    10.5   -0.232865   -0.023    0.0    2.0      2.0    1.08828  1.08828    1.0     2.0

   4     4    5.0   1.77716   2.0    10.5   0.0         0.0       0.0     2.0      2.0    1.77716  1.77716     0.0     4.0


