FORMAT:
                      Morse                                     Charge transfer                              4-particle interactions
               ____________________________ _____     _____________________________________________________   ______________
 type1  type2   D     r_0      alpha  shift  bci        wij_1     wij_2   alpij_1  alpij_2  rij_1   rij_2     wij     alpij

   1     1    -5.0    0.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     2    -5.0    0.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     3     5.0    0.5       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   1     4     3.0    0.01       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0

   2     2     5.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   2     3     0.0    0.5       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0
   2     4     0.0    1.0       2.0    1.1   0.0         0.0       0.0     2.0      2.0      1.0     1.0      0.0     1.0


   3     3   15.0   1.52730   2.5    1.1   0.0          0.0       0.0     2.0      2.0    1.52730  1.52730    2.0     0.1

   3     4    5.0    0.5   2.0    1.1   -0.232865  -0.232865  0.0     2.0      2.0    1.08828  1.08828    2.0     0.1
 
   4     4    0.0    0.0       2.0    0.1   0.0         0.0       0.0     2.0      2.0    1.77716  1.77716    1.0     1.0




