*      C.1      *        180.0      0.04
C.1    C.1      C.2      180.0      0.04
C.2    C.1      N.1      180.0      0.04
C.3    C.1      N.1      180.0      0.04
C.ar   C.1      N.1      180.0      0.04
N.1    C.1      O.3      180.0      0.04
*      C.2      *        120.0      0.024
Br     C.2      Br       120.0      0.02
Br     C.2      C.2      120.0      0.036
C.2    C.2      C.2      121.7      0.018
C.1    C.2      C.3      120.0      0.024
C.2    C.2      C.3      121.0      0.024
C.3    C.2      C.3      116.4      0.046
C.1    C.2      C.ar     120.0      0.024
C.2    C.2      C.ar     120.0      0.026
C.3    C.2      C.ar     120.0      0.024
C.ar   C.2      C.ar     120.0      0.024
C.2    C.2      Cl       120.0      0.036
C.ar   C.2      Cl       120.0      0.036
Cl     C.2      Cl       122.0      0.03
*      C.2      H        120.0      0.012
C.1    C.2      N.2      123.0      0.07
C.2    C.2      N.2      120.0      0.024
C.3    C.2      N.2      118.0      0.02
C.ar   C.2      N.2      120.0      0.04
C.2    C.2      N.3      120.0      0.024
C.3    C.2      N.3      118.0      0.04
N.2    C.2      N.3      121,8      0.03
N.3    C.2      N.3      116.4      0.03
C.2    C.2      N.am     120.0      0.024
C.3    C.2      N.am     117.0      0.02
C.ar   C.2      N.am     120.0      0.04
N.2    C.2      N.am     123.0      0.07
N.am   C.2      N.am     120.0      0.03
C.2    C.2      N.pl3    120.0      0.024
C.3    C.2      N.pl3    117.0      0.02
N.2    C.2      N.pl3    123.0      0.07
C.1    C.2      O.2      120.0      0.06
C.2    C.2      O.2      120.0      0.026
C.3    C.2      O.2      120.0      0.026
C.ar   C.2      O.2      120.0      0.026
N.3    C.2      O.2      120.0      0.026
N.am   C.2      O.2      123.0      0.03
N.pl3  C.2      O.2      123.0      0.03
C.2    C.2      O.3      120.0      0.072
C.3    C.2      O.3      114.0      0.03
C.ar   C.2      O.3      120.0      0.03
N.am   C.2      O.3      110.5      0.014
O.2    C.2      O.3      120.0      0.03
N.2    C.2      S.3      125.6      0.028
N.am   C.2      S.3      111.5      0.03
O.2    C.2      S.3      125.0      0.016
*      C.3      *        109.5      0.02
C.2    C.3      C.2      109.5      0.018
C.1    C.3      C.3      109.5      0.024
C.2    C.3      C.3      109.5      0.018
C.3    C.3      C.3      109.5      0.024
C.2    C.3      C.ar     109.47     0.018
C.3    C.3      C.ar     109.5      0.024
C.ar   C.3      C.ar     109.5      0.018
C.3    C.3      Cl       109.5      0.02
Cl     C.3      Cl       109.5      0.02
C.ar   C.3      F        110.0      0.024
F      C.3      F        109.5      0.04
*      C.3      H        109.5      0.016
C.2    C.3      H        110.0      0.016
H      C.3      H        109.5      0.024
C.3    C.3      N.2      109.5      0.018
C.2    C.3      N.3      109.5      0.018
C.3    C.3      N.3      109.5      0.024
C.ar   C.3      N.3      109.5      0.018
C.2    C.3      N.am     109.5      0.022
C.3    C.3      N.am     109.5      0.018
C.ar   C.3      N.am     109.5      0.02
H      C.3      N.am     110.0      0.02
N.2    C.3      N.am     109.5      0.02
N.am   C.3      N.am     109.5      0.04
F      C.3      N.ar     109.5      0.04
C.2    C.3      N.pl3    109.5      0.018
C.3    C.3      N.pl3    109.5      0.02
C.ar   C.3      N.pl3    109.5      0.02
C.2    C.3      O.3      109.5      0.022
C.3    C.3      O.3      109.5      0.022
C.ar   C.3      O.3      109.5      0.018
N.am   C.3      O.3      109.5      0.02
O.3    C.3      O.3      109.5      0.02
C.3    C.3      P.3      112.0      0.014
C.2    C.3      S.2      109.5      0.018
C.3    C.3      S.2      109.5      0.018
N.am   C.3      S.2      109.5      0.04
C.2    C.3      S.3      107.8      0.018
C.3    C.3      S.3      107.8      0.018
C.ar   C.3      S.3      107.8      0.018
N.am   C.3      S.3      109.5      0.024
O.3    C.3      S.3      107.8      0.02
*      C.ar     *        120.0      0.024
Br     C.ar     C.ar     120.0      0.036
C.2    C.ar     C.ar     120.0      0.024
C.3    C.ar     C.ar     120.0      0.024
C.ar   C.ar     C.ar     120.0      0.024
C.ar   C.ar     Cl       120.0      0.036
C.ar   C.ar     F        120.0      0.036
C.ar   C.ar     I        120.0      0.036
C.3    C.ar     N.2      120.0      0.04
C.ar   C.ar     N.2      120.0      0.04
N.2    C.ar     N.2      120.0      0.04
C.ar   C.ar     N.3      120.0      0.062
C.ar   C.ar     N.am     120.0      0.062
N.2    C.ar     N.am     118.0      0.04
N.am   C.ar     N.am     120.0      0.03
C.2    C.ar     N.ar     120.0      0.04
C.3    C.ar     N.ar     120.0      0.04
C.ar   C.ar     N.ar     120.0      0.024
N.am   C.ar     N.ar     118.0      0.04
C.3    C.ar     N.pl3    120.0      0.04
C.ar   C.ar     N.pl3    120.0      0.04
N.2    C.ar     N.pl3    120.0      0.04
N.am   C.ar     N.pl3    120.0      0.04
N.pl3  C.ar     N.pl3    120.0      0.04
C.3    C.ar     O.3      120.0      0.04
C.ar   C.ar     O.3      120.0      0.062
C.ar   C.ar     S.2      120.0      0.062
C.ar   C.ar     S.3      120.0      0.062
*      N.1      *        180.0      0.08
*      N.2      *        120.0      0.04
C.1    N.2      C.2      120.0      0.04
C.2    N.2      C.2      123.0      0.08
C.2    N.2      C.3      110.0      0.082
C.2    N.2      C.ar     123.0      0.08
C.3    N.2      C.ar     110.0      0.082
C.ar   N.2      C.ar     120.0      0.04
C.2    N.2      N.2      112.0      0.044
C.3    N.2      N.2      118.0      0.04
C.ar   N.2      N.2      118.0      0.04
C.2    N.2      N.am     120.0      0.044
C.2    N.2      N.pl3    120.0      0.044
C.2    N.2      O.3      105.0      0.044
*      N.3      *        109.5      0.04
C.2    N.3      C.3      110.0      0.04
C.3    N.3      C.3      109.5      0.018
C.3    N.3      C.ar     118.0      0.04
C.ar   N.3      C.ar     118.0      0.04
C.3    N.3      S.2      109.5      0.04
*      N.4      *        109.5      0.01
C.3    N.4      C.3      109.5      0.018
*      N.am     *        120.0      0.02
C.2    N.am     C.2      120.0      0.018
C.2    N.am     C.3      118.0      0.044
C.3    N.am     C.3      122.0      0.04
C.2    N.am     C.ar     120.0      0.052
C.3    N.am     C.ar     118.0      0.044
C.ar   N.am     C.ar     120.0      0.044
C.2    N.am     H        119.0      0.016
C.3    N.am     H        117.0      0.02
C.2    N.am     N.2      120.0      0.018
C.3    N.am     N.2      120.0      0.024
C.ar   N.am     N.2      109.5      0.044
C.2    N.am     N.am     120.0      0.018
C.3    N.am     N.am     120.0      0.024
C.ar   N.am     N.am     120.0      0.052
C.2    N.am     O.2      120.0      0.024
C.3    N.am     O.2      120.0      0.02
C.ar   N.am     O.2      120.0      0.024
O.2    N.am     O.2      120.0      0.02
*      N.ar     *        120.0      0.02
C.ar   N.ar     C.ar     120.0      0.04
*      N.pl3    *        120.0      0.04
C.2    N.pl3    C.2      120.0      0.04
C.2    N.pl3    C.ar     120.0      0.04
C.3    N.pl3    C.ar     120.0      0.04
C.ar   N.pl3    C.ar     120.0      0.04
C.2    N.pl3    N.2      120.0      0.018
C.ar   N.pl3    N.2      120.0      0.018
C.2    N.pl3    O.2      112.0      0.04
O.2    N.pl3    O.2      127.0      0.06
*      O.3      *        109.5      0.02
C.2    O.3      C.2      110.0      0.02
C.2    O.3      C.3      109.5      0.044
C.3    O.3      C.3      109.5      0.044
C.2    O.3      C.ar     110.0      0.02
C.3    O.3      C.ar     110.0      0.02
C.ar   O.3      C.ar     110.0      0.02
C.2    O.3      N.2      108.5      0.044
C.3    O.3      O.3      103.9      0.094
C.3    O.3      P.3      120.0      0.01
*      P.3      *        109.5      0.02
O.2    P.3      O.2      109.5      0.02
Du     P.3      O.3      109.5      0.014
O.2    P.3      O.3      109.5      0.02
O.3    P.3      O.3      109.5      0.02
*      S.2      *        110.0      0.04
C.3    S.2      N.3      111.0      0.04
C.ar   S.2      N.3      111.0      0.04
*      S.3      *         97.0      0.02
C.2    S.3      C.3       94.3      0.022
C.3    S.3      C.3       98.0      0.02
C.ar   S.3      C.ar      97.5      0.062
C.3    S.3      S.3      102.9      0.06
*      S.o      O.2      107.0      0.04
*      S.o2     O.2      107.0      0.04
O.2    S.o2     O.2      118.0      0.04








