C.1       C.1     3     1.204    1400
C.1       C.1     1     1.38      700
Br        C.2     1     1.89      500
C.1       C.2     1     1.44     1340
C.1       C.2     2     1.44     1340
C.2       C.2     2     1.335    1340
C.2       C.2     1     1.47      700
C.1       C.3     1     1.458     640
C.2       C.3     1     1.501     639
C.3       C.3     1     1.54      633.6
Br        C.ar    1     1.85      500
C.1       C.ar    1     1.44     1340
C.2       C.ar    1     1.51     1340
C.3       C.ar    1     1.525     640
C.ar      C.ar    ar    1.395    1400
C.ar      C.ar    1     1.480    1000
C.2       Cl      1     1.75      520
C.3       Cl      1     1.767     600
C.ar      Cl      1     1.75      513.36
C.2       F       1     1.33     1200
C.3       F       1     1.36      600
C.ar      F       1     1.33      500
*         H       1     1.008     700
C.1       H       1     1.056     700
C.2       H       1     1.089     692  
C.3       H       1     1.1       662.4
C.ar      H       1     1.084     692  
C.ar      I       1     2.05      490  
C.1       N.1     3     1.158    1600  
C.1       N.2     1     1.33     1300
C.1       N.2     2     1.33     1300
C.2       N.2     2     1.27     1305.94
C.2       N.2     1     1.444    1300
C.3       N.2     1     1.44      760.2
C.ar      N.2     1     1.346    1305.94
N.2       N.2     2     1.346    1305.94
N.2       N.2     1     1.418    1300
C.2       N.3     1     1.33     1300
C.3       N.3     1     1.47      760
C.ar      N.3     1     1.41      720
H         N.3     1     1.08      692
C.2       N.4     1     1.33     1300
C.3       N.4     1     1.47      760
C.ar      N.4     1     1.41      720
C.2       N.am    am    1.345     870.1 
C.2       N.am    1     1.345     870.1 
C.3       N.am    1     1.45      677.6 
C.ar      N.am    1     1.416    1090.08
H         N.am    1     1         700   
N.2       N.am    1     1.44      667.6 
N.am      N.am    1     1.45      744.48
C.ar      N.ar    ar    1.346    1305.94
N.ar      N.ar    ar    1.33     1400   
C.2       N.pl3   1     1.3      1200   
C.3       N.pl3   1     1.45      676   
C.ar      N.pl3   1     1.35     1306   
H         N.pl3   1     1.03      692   
N.2       N.pl3   1     1.35     1305.94
C.2       O.2     2     1.22     1555.2 
N.am      O.2     1     1.24     1120   
N.pl3     O.2     2     1.21      680   
C.2       O.3     1     1.33      699.84
C.3       O.3     1     1.43      618.9 
C.ar      O.3     1     1.39      700   
H         O.3     1     0.95     1007.5 
N.2       O.3     1     1.405    1200   
N.pl3     O.3     1     1.4       620 
O.3       O.3     1     1.48     1172.16
C.3       P.3     1     1.83      407.6
O.2       P.3     1     1.49     1400 
O.2       P.3     2     1.49     1400 
O.3       P.3     1     1.6       800
C.2       S.2     2     1.71      400
C.3       S.2     1     1.8       381.6
C.ar      S.2     1     1.74      700 
C.2       S.3     1     1.78      360
C.3       S.3     1     1.817     381.6
C.ar      S.3     1     1.77      360
N.3       S.3     1     1.625     360
N.4       S.3     1     1.625     360 
O.2       S.3     2     1.45      600
S.3       S.3     1     2.03      600 
C.2       S.o     1     1.71      360 
C.3       S.o     1     1.8       381.6 
O.2       S.o     2     1.45      600
O.3       S.o     1     1.5       600
C.3       S.o2    1     1.8       381.6
O.2       S.o2    2     1.45      600
O.3       S.o2    1     1.5       600


